hr,count,usertype
0,3866,Customer
0,6939,Subscriber
1,2500,Customer
1,4147,Subscriber
2,1500,Customer
2,2415,Subscriber
3,862,Customer
3,1451,Subscriber
4,541,Customer
4,1972,Subscriber
5,617,Customer
5,9776,Subscriber
6,1577,Customer
6,34797,Subscriber
7,3346,Customer
7,71897,Subscriber
8,6872,Customer
8,85084,Subscriber
9,13428,Customer
9,44019,Subscriber
10,22824,Customer
10,35727,Subscriber
11,31849,Customer
11,43324,Subscriber
12,37158,Customer
12,50990,Subscriber
13,40494,Customer
13,49290,Subscriber
14,41654,Customer
14,47067,Subscriber
15,42290,Customer
15,55602,Subscriber
16,39921,Customer
16,89956,Subscriber
17,36856,Customer
17,125258,Subscriber
18,29891,Customer
18,89344,Subscriber
19,22750,Customer
19,60738,Subscriber
20,16277,Customer
20,41309,Subscriber
21,12296,Customer
21,30302,Subscriber
22,10386,Customer
22,21669,Subscriber
23,6608,Customer
23,12300,Subscriber
